Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/54,7.052251289401442e-5,7.048981263218658e-5,7.064413970974331e-5,1.9576373424146677e-7,2.2355868300237716e-8,4.136257083760926e-7
infer/55,3.8473965958379496e-5,3.846699706305607e-5,3.848117022033273e-5,2.350484346366299e-8,1.8944820589867627e-8,2.9474631952919407e-8
infer/56,3.577055742883588e-5,3.576464693166505e-5,3.577627249062073e-5,1.9896408518678027e-8,1.713340563704424e-8,2.36936437849507e-8
infer/57,2.2849557172579556e-5,2.2845549489387686e-5,2.285292422267642e-5,1.2157254144766756e-8,1.023433781154803e-8,1.494833526817698e-8
infer/58,1.0528195761382951e-4,1.0518253261824332e-4,1.0559082284323792e-4,5.894187995214952e-7,1.5718141809313957e-7,1.1013290368463848e-6
infer/59,4.216515855015155e-5,4.214722164266118e-5,4.2227738101908505e-5,1.0468416703380678e-7,1.873360955423488e-8,2.1956619942261642e-7
infer/60,5.972806895180184e-5,5.9717450276180515e-5,5.973911266254889e-5,3.414422735995195e-8,2.849147608437459e-8,4.2689810205095925e-8
infer/61,3.999149488354681e-5,3.998402492296266e-5,3.9998822703145124e-5,2.54366076193331e-8,2.1767049878406278e-8,3.0251893413222496e-8
infer/62,2.824999372084022e-5,2.824628801395157e-5,2.8254769374380446e-5,1.4327647437593792e-8,1.0961708866613688e-8,2.0558391586357463e-8
infer/63,6.36091418630604e-5,6.360078029622985e-5,6.361774551086761e-5,2.9307258380391778e-8,2.418789844552084e-8,3.643469399784154e-8
infer/64,3.66591909244042e-5,3.6651513403803186e-5,3.668055380529226e-5,3.9646372132330325e-8,1.678036229736058e-8,7.84499984242876e-8
infer/65,8.274203958947168e-5,8.272568113346298e-5,8.275945449942328e-5,5.550712515763135e-8,4.590893556075476e-8,6.829068281092908e-8
infer/66,7.733499378085394e-5,7.732801427772888e-5,7.734314115414693e-5,2.651243732424688e-8,2.1313558065545656e-8,3.422965265125841e-8
infer/67,6.633279066781651e-5,6.631296252030452e-5,6.639964607934931e-5,1.0397949626539536e-7,4.020223927139827e-8,2.182594562022522e-7
infer/68,4.36278773403891e-5,4.361839322540838e-5,4.363880005118903e-5,3.4247542392894694e-8,2.7484842680021787e-8,5.0954034034094544e-8
infer/69,3.187320312194492e-5,3.1864641637103785e-5,3.189002231485505e-5,4.023037447102667e-8,2.6124743987542738e-8,7.423782035775865e-8
infer/70,5.408455779670745e-5,5.4070697927763206e-5,5.41140020503653e-5,6.74480737397701e-8,4.087612284611363e-8,1.1696708723586776e-7
infer/71,5.6483537609213496e-5,5.646723653693513e-5,5.652806425790719e-5,8.598940883546763e-8,2.8712618448974424e-8,1.7322710148254982e-7
infer/72,5.4788661549768184e-5,5.476538095465853e-5,5.485399911317539e-5,1.2069610610649954e-7,4.875286181036544e-8,2.3428482635213067e-7
infer/73,5.454933380793399e-5,5.451056158203712e-5,5.4667651114139944e-5,2.000315967951124e-7,3.119347281170648e-8,3.8805333263036054e-7
infer/74,4.124167420807766e-5,4.122675552996574e-5,4.1286726646773505e-5,7.307872098905301e-8,2.0648573696495325e-8,1.4949984828194988e-7
infer/75,6.814021923151479e-5,6.811732951335361e-5,6.818569792626882e-5,1.0302727983754711e-7,4.9828507921378095e-8,1.715422874923225e-7
infer/76,8.242102170418209e-5,8.240677810164432e-5,8.243824861526477e-5,5.361085156875955e-8,3.918277375719066e-8,8.056914662330165e-8
infer/77,3.6460182301958475e-5,3.645677629325311e-5,3.646537019543893e-5,1.3677263638401695e-8,9.425058050331631e-9,2.0881445710376e-8
infer/78,5.588704042834625e-5,5.587797824064292e-5,5.5900836575631106e-5,3.568560278407607e-8,2.5186073079098572e-8,5.7719139148144895e-8
infer/79,7.511586536516565e-5,7.510500265316151e-5,7.513302840332181e-5,4.4140034277752864e-8,2.8554537775643844e-8,6.665097012470664e-8
infer/80,9.207647938936915e-5,9.206357678568963e-5,9.2103940037564e-5,6.226624089996568e-8,3.261827223834449e-8,1.1530100896544327e-7
infer/81,1.0233257258215352e-4,1.0231768726173971e-4,1.0237334072931792e-4,7.231469716342895e-8,4.100931060471715e-8,1.3439658333873928e-7
infer/82,1.9465915603355876e-4,1.946306253929993e-4,1.9472394264300166e-4,1.326084626717816e-7,7.287092696278359e-8,2.4666009428210785e-7
infer/83,8.616734038920841e-5,8.615518520279703e-5,8.62032247586619e-5,6.021332822058961e-8,2.7041108564895793e-8,1.217664642992734e-7
infer/84,1.3198239027377884e-4,1.3195882295150767e-4,1.3203019826053347e-4,1.1234543875125086e-7,6.455405690347114e-8,2.0026463785885007e-7
infer/85,1.2704545970766855e-4,1.2678321743637348e-4,1.2824169053773026e-4,1.5666435157297728e-6,1.5831771433141164e-7,3.56892746937874e-6
infer/86,7.644158346679437e-5,7.642216682672502e-5,7.648017827955869e-5,8.642854608458364e-8,4.6862868512161924e-8,1.4936866330644356e-7
infer/87,1.5377074088172008e-4,1.5366525679114118e-4,1.5405648911166669e-4,5.585863861172652e-7,1.706644788968799e-7,1.0165122058298522e-6
infer/88,1.2808049469198497e-4,1.2805681923189988e-4,1.2814556278150494e-4,1.332594537983696e-7,5.593040889622767e-8,2.5676842539298437e-7
infer/89,9.989117024288176e-5,9.98656462590247e-5,9.998027339510091e-5,1.333974708589073e-7,4.6644677911756334e-8,2.885648540110918e-7
infer/90,1.6867689202651213e-4,1.686248838146134e-4,1.6880919649700995e-4,2.641813034718115e-7,1.0387973314789138e-7,5.131950874851609e-7
infer/91,8.254931166099364e-5,8.252531889755618e-5,8.263301868037457e-5,1.391165744093742e-7,3.845372846163881e-8,2.8531562161640717e-7
infer/92,1.1313681846311865e-4,1.1309751430018292e-4,1.1331354001105997e-4,2.349368062816357e-7,3.494115591988017e-8,5.339822205302404e-7
infer/93,1.4582734356168226e-4,1.457544550928984e-4,1.460991477888106e-4,4.2210930542501713e-7,5.427092745068403e-8,8.869855646627351e-7
infer/94,1.4457116897772802e-4,1.4454039772990142e-4,1.4464157806490276e-4,1.5060757564549354e-7,7.901148467931915e-8,3.1234054036151155e-7
infer/95,2.286527918413911e-4,2.28606144248883e-4,2.2876865253859598e-4,2.2097469542713273e-7,1.1549342508790654e-7,4.1086905004424627e-7
infer/96,1.6760839778329255e-4,1.6757993905611895e-4,1.676509538565131e-4,1.1239807864208672e-7,7.019280109138986e-8,2.0145215625052803e-7
infer/97,7.793595428409221e-5,7.792328264802859e-5,7.795316624266337e-5,4.9722710976796993e-8,3.6511145094677755e-8,7.741057115609477e-8
infer/98,2.0511026982572155e-4,2.0508289445685958e-4,2.0517986719783304e-4,1.3939626630451602e-7,7.59141023095582e-8,2.6746432248443106e-7
infer/99,1.4263451100632432e-4,1.426134691062362e-4,1.4267818281220402e-4,9.828843897308752e-8,5.821620110972359e-8,1.817523360657093e-7
infer/100,1.1273956764713213e-4,1.1272279440474078e-4,1.1277833484108843e-4,8.216565960313062e-8,4.426960804793895e-8,1.6159800594969896e-7
