Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/43,3.382044827289708e-5,3.380710785261531e-5,3.386294704161045e-5,7.091755609850496e-8,2.663095010090855e-8,1.398884713823991e-7
infer/44,3.157557141070608e-5,3.156096547703395e-5,3.161668431308591e-5,7.81986354876437e-8,2.6470309097358176e-8,1.5754136769086453e-7
infer/45,2.9501662982068873e-5,2.9460846013026584e-5,2.957114383344853e-5,1.707516989381704e-7,1.1097822521475964e-7,2.893797876999338e-7
infer/46,2.8852450479817956e-5,2.884453216159963e-5,2.8862677571705018e-5,3.1419966397300223e-8,2.301720243430028e-8,4.694793233032204e-8
infer/47,2.3590423303251334e-5,2.358187013856908e-5,2.3598717653245e-5,2.7591326495852416e-8,2.35516501700427e-8,3.281444583320299e-8
infer/48,2.9162308818405973e-5,2.9152882724800053e-5,2.9203760182373794e-5,5.549278881640772e-8,9.985183388607687e-9,1.252842696492985e-7
infer/49,7.140082123792918e-5,7.138808444571727e-5,7.1421189791708e-5,5.2744956888848124e-8,3.943668152933006e-8,7.487349946263765e-8
infer/50,1.9078134567462187e-5,1.9072335538981704e-5,1.9090351701156993e-5,2.5960228588276765e-8,1.69227502627193e-8,4.594333262944265e-8
infer/51,2.5589101362601088e-5,2.5583160337117033e-5,2.5597970847801595e-5,2.3764963695167804e-8,1.8162248605528873e-8,3.4384715672251555e-8
infer/52,4.5693837765381066e-5,4.567914791663449e-5,4.5709724024638745e-5,5.0354985805570163e-8,4.231640488189067e-8,6.327825851259773e-8
infer/53,5.837116618895612e-5,5.836293026545811e-5,5.838936391682643e-5,3.8094258959639684e-8,2.0839746599256982e-8,7.433515245975023e-8
infer/54,7.022963512098936e-5,7.021655524890216e-5,7.024940772595937e-5,5.272114342606946e-8,3.471161903094557e-8,1.0058258961376869e-7
infer/55,4.090496504554243e-5,4.089780859403461e-5,4.091821389189569e-5,3.148428181358262e-8,1.939318140392355e-8,5.3557507532723724e-8
infer/56,3.88384100081268e-5,3.8830170703447884e-5,3.885199264525497e-5,3.35459114562435e-8,2.0487597268731885e-8,5.692949505493382e-8
infer/57,2.284733831641033e-5,2.28409538042531e-5,2.285404926833271e-5,2.1452253758281845e-8,1.7546915060671677e-8,2.8969121411781198e-8
infer/58,1.0768895661011317e-4,1.076693237799884e-4,1.0773969505724362e-4,9.126280821615538e-8,4.85088389855996e-8,1.7473049167173158e-7
infer/59,4.5158716002921765e-5,4.509839012680691e-5,4.539182259489997e-5,3.7146812311299583e-7,2.508633564664806e-8,7.878667397188943e-7
infer/60,6.0241355099082715e-5,6.0229815202284924e-5,6.0271850299367476e-5,5.722674520689469e-8,2.9471096477834606e-8,1.093067219480689e-7
infer/61,4.2794128956316244e-5,4.278482920915367e-5,4.281242039831881e-5,4.391729967995551e-8,2.6122192901991183e-8,7.87147820696194e-8
infer/62,2.847734971024201e-5,2.8472579192560416e-5,2.8491279806792423e-5,2.47975615177062e-8,9.34149490170321e-9,4.974151994173324e-8
infer/63,6.312833696063811e-5,6.311507911544234e-5,6.317247533856418e-5,7.352257980043388e-8,3.0462296304555355e-8,1.4684176543310844e-7
infer/64,3.8078990378151203e-5,3.806932013627561e-5,3.810183498267903e-5,4.767751501909057e-8,2.6769592646002045e-8,8.819115323566509e-8
infer/65,8.298617567662881e-5,8.296366969424433e-5,8.306542690139934e-5,1.3580710379891213e-7,2.8937721817692435e-8,2.8329769055836776e-7
infer/66,7.657364936021888e-5,7.65462058011611e-5,7.669931225821857e-5,1.6384637022976948e-7,2.214271404765439e-8,3.723735104132619e-7
infer/67,6.763861455510592e-5,6.7610375719764e-5,6.773310660814912e-5,1.6570235091697456e-7,3.861472136735719e-8,3.465803586254292e-7
infer/68,4.3493704262697806e-5,4.348681218735745e-5,4.3499478461422186e-5,2.112940769481722e-8,1.7153753320798882e-8,2.8055855809177424e-8
infer/69,3.2251065810002243e-5,3.22467180294267e-5,3.225598374303346e-5,1.6316580042877342e-8,1.3141452377693654e-8,1.9915183309940726e-8
infer/70,5.6687912843775275e-5,5.668268139887772e-5,5.669690420360267e-5,2.1886140655828633e-8,1.4104570596986366e-8,3.6179259638210456e-8
infer/71,5.873676641754781e-5,5.873002161351779e-5,5.874968403867505e-5,2.987436027931829e-8,1.815941026034375e-8,5.0476747459796236e-8
infer/72,5.4895635693110085e-5,5.4888018788859886e-5,5.49076559892051e-5,3.182084758579874e-8,2.319087269613943e-8,5.104098823546013e-8
infer/73,5.702902084283287e-5,5.701865738934439e-5,5.704783135983745e-5,4.416096879868325e-8,2.685692695143891e-8,6.952845717876514e-8
infer/74,4.247087884477653e-5,4.246343770423664e-5,4.248243178792697e-5,3.159332910499693e-8,2.0118972171341478e-8,4.862299525000668e-8
infer/75,6.909886043048379e-5,6.909002499495567e-5,6.911482575401955e-5,4.1311954967102076e-8,2.523661485501559e-8,7.004945084209505e-8
infer/76,8.290484052527815e-5,8.28921906122951e-5,8.293250445238881e-5,6.028471210926165e-8,3.1742197267976066e-8,1.0945809650338122e-7
infer/77,3.733071541182383e-5,3.7326297451401964e-5,3.7342982889741306e-5,2.2567040679772543e-8,1.0670086171564378e-8,4.6053996292992305e-8
infer/78,5.876910302658116e-5,5.8760451630499186e-5,5.878893956713961e-5,4.027106922421339e-8,1.7229525340086197e-8,7.619705198581708e-8
infer/79,7.472390735939284e-5,7.469266009070151e-5,7.481777519808331e-5,1.7715312428350643e-7,4.4750610585284457e-8,3.5878868926706743e-7
infer/80,9.347309951530929e-5,9.34587573014617e-5,9.351745293034611e-5,8.101200338899213e-8,2.524595394917925e-8,1.6532709650806604e-7
